tract,below_fpl,below_200fpl,fpl_universe,below_fpl_pct,below_200fpl_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037127605,817,1442,3682,22.2,39.2,District 3,Los Angeles - Lake Balboa,SPA 2 - San Fernando,7580,6980882.93652344,10568.6402976943
06037127606,814,1421,3218,25.3,44.2,District 3,Los Angeles - Lake Balboa,SPA 2 - San Fernando,7581,5874677.68359375,9732.35857510905
06037127711,718,1063,3231,22.2,32.9,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7582,10174730.4658203,13541.6901077778
06037127712,908,1597,4034,22.5,39.6,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7583,6130171.12792969,9823.67817395044
06037127803,1068,1824,4927,21.7,37,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7584,6890571.51855469,10517.379763811
06037127804,611,1421,4428,13.8,32.1,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7585,6868927.5625,10483.5683025492
06037127805,901,1420,3244,27.8,43.8,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7586,6614220.41796875,13204.8262740943
06037127806,346,899,3729,9.3,24.1,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7587,7353268.58789063,13484.5339045153
06037127910,1227,2326,4934,24.9,47.1,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7588,6989137.45117188,10580.198619036
06037127920,972,1505,4385,22.2,34.3,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7589,6982341.02441406,10569.2060481257
06037128101,298,862,2794,10.7,30.9,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,7590,6984145.00878906,10570.757196977
06037128102,697,2102,4868,14.3,43.2,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7591,6983390.89257813,10570.6966405274
06037128210,1303,3051,4989,26.1,61.2,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7592,5919213.0234375,9764.43739718782
06037128220,573,1494,2990,19.2,50,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,7593,5997641.55371094,10037.1332067635
06037128302,1389,2694,4537,30.6,59.4,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7594,7414446.90625,12437.5239279036
06037128303,1153,2222,3385,34.1,65.6,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7595,4455088.68164063,9765.85862957693
06037128400,332,886,4274,7.8,20.7,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7596,18646159.8535156,22560.5558965062
06037128500,371,787,4377,8.5,18,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7597,10467036.7177734,13208.3704425333
06037128601,666,2143,4836,13.8,44.3,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7598,7321239.76074219,13837.7078898344
06037128602,370,543,2684,13.8,20.2,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7599,12209123.1132813,14527.213471879
06037128703,319,903,3469,9.2,26,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7600,8810829.06347656,11742.4481063908
06037128704,171,371,2328,7.3,15.9,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7601,8972420.95019531,12103.1872446316
06037128801,451,875,3864,11.7,22.6,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7602,5203157.265625,9434.476580706
06037128802,254,624,4317,5.9,14.5,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7603,10467798.9707031,13207.6759189899
06037128910,346,851,4528,7.6,18.8,District 3,Los Angeles - Sherman Oaks,SPA 2 - San Fernando,7604,14370378.1630859,17392.2570866779
06037131021,339,1537,3237,10.5,47.5,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7605,6073826.87597656,10587.1365316538
06037131022,618,1147,2874,21.5,39.9,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7606,5429101.01464844,10053.9723298007
06037131023,328,1022,2655,12.4,38.5,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7607,6331632.88769531,10094.9901141524
06037131024,555,1191,3886,14.3,30.6,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7608,9118250.62304688,12239.292692934
06037131100,153,654,3004,5.1,21.8,District 3,Los Angeles - Lake Balboa,SPA 2 - San Fernando,7609,11864796.7861328,14173.5116959368
06037131200,262,568,3594,7.3,15.8,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7610,12145468.0761719,14480.9899697937
06037131300,297,1167,4298,6.9,27.2,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7611,12032453.0322266,14396.2251087025
06037131400,599,1401,5740,10.4,24.4,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7612,11915892.7900391,14307.2204390775
06037131600,688,2310,4917,14,47,District 3,Los Angeles - Reseda Ranch,SPA 2 - San Fernando,7613,23559471.7636719,19403.9129128438
06037131701,1023,1884,4877,21,38.6,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7614,7099637.32128906,10658.4785861577
06037131702,263,1209,3602,7.3,33.6,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7615,7771595.11230469,11154.7315560584
06037131801,503,1300,2838,17.7,45.8,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7616,7063739.49316406,10631.4345331568
06037131802,126,364,2337,5.4,15.6,District 3,Los Angeles - Reseda,SPA 2 - San Fernando,7617,7096069.90820313,10655.798180293
